,id,install_date,installed,lat,locality,locked,lon,num_bikes,num_docks,num_empty,removal_date,temporary
55,1032,2010-07-10 14:15:00,True,51.524526,"New Inn Yard, Shoreditch",False,-0.079248,9,20,10,,False
56,1030,2010-07-10 14:39:00,True,51.526448,"Lisson Grove, St. John's Wood",False,-0.17219,3,18,15,,False
57,1017,2010-07-10 15:57:00,True,51.497382,"Great Dover Street, The Borough",False,-0.089446,19,33,14,,False
58,990,2010-07-10 15:59:00,True,51.490757,"Cotton Garden Estate, Kennington",False,-0.106323,16,24,8,,False
59,989,2010-07-10 16:02:00,True,51.53089,"Murray Grove , Hoxton",False,-0.089782,21,27,5,,False
60,1028,2010-07-10 16:05:00,True,51.509462,"William IV Street, Strand",False,-0.124749,1,25,22,,False
61,969,2010-07-11 10:31:00,True,51.525227,"Gower Place , Euston",False,-0.135188,10,17,7,,False
62,982,2010-07-11 11:48:00,True,51.51795,"Holborn Circus, Holborn",False,-0.108657,13,40,27,2014-03-04 13:04:00,False
63,985,2010-07-11 12:24:00,True,51.518825,"Hatton Garden, Holborn",False,-0.108028,10,28,17,,False
64,975,2010-07-11 15:04:00,True,51.520596,"Theobald's Road , Holborn",False,-0.116688,5,26,20,,False
65,983,2010-07-11 16:19:00,True,51.526236,"Euston Road, Euston",False,-0.134407,16,24,8,,False
66,1066,2010-07-11 16:49:00,True,51.53136,"Calshot Street , King's Cross",False,-0.117069,15,24,9,,False
67,1074,2010-07-12 09:55:00,True,51.515418,"Newgate Street , St. Paul's",False,-0.09885,1,34,32,,False
68,3432,2010-07-12 13:01:00,True,51.52352,"Farringdon Lane, Clerkenwell",False,-0.10834,2,16,13,,False
69,1064,2010-07-12 14:24:00,True,51.525726,"Old Street Station, St. Luke's",False,-0.088486,8,37,28,,False
70,1000,2010-07-12 14:26:00,True,51.485917,"Vauxhall Cross, Vauxhall",False,-0.124469,14,17,1,,False
71,1060,2010-07-12 15:33:00,True,51.532199,"Torrens Street, Angel",False,-0.10548,9,19,10,,False
72,976,2010-07-12 15:56:00,True,51.525595,"Longford Street, The Regent's Park",False,-0.144083,2,21,19,,False
73,978,2010-07-12 16:01:00,True,51.523418,"Russell Square Station, Bloomsbury",False,-0.124121,6,26,19,,False
74,3433,2010-07-12 16:28:00,True,51.524868,"Sadlers Sports Centre, Finsbury",False,-0.099489,4,17,13,,False
75,3448,2010-07-12 17:34:00,True,51.500693,"Webber Street , Southwark",False,-0.102091,30,45,14,,False
76,3450,2010-07-13 10:23:00,True,51.520253,"Great Titchfield Street, Fitzrovia",False,-0.141327,9,19,8,,False
77,3453,2010-07-13 11:08:00,True,51.514274,"Chancery Lane, Holborn",False,-0.111257,2,15,13,,False
78,3452,2010-07-13 11:10:00,True,51.509639,"Panton Street, West End",False,-0.13151,16,21,5,,False
79,3449,2010-07-13 12:24:00,True,51.515937,"Breams Buildings, Holborn",False,-0.111778,4,25,20,,False
80,994,2010-07-13 14:01:00,True,51.500647,"Tanner Street, Bermondsey",False,-0.0786,41,41,0,,False
81,3434,2010-07-13 14:19:00,True,51.489479,"Sancroft Street, Vauxhall",False,-0.115156,10,24,13,,False
82,3438,2010-07-13 14:28:00,True,51.516468,"Devonshire Square, Liverpool Street",False,-0.079684,6,16,10,,False
83,1006,2010-07-13 14:38:00,True,51.518587,"Bayley Street , Bloomsbury",False,-0.132053,14,25,10,,False
84,3439,2010-07-13 14:56:00,True,51.52625,"Tavistock Place, Bloomsbury",False,-0.123509,7,19,12,,False
85,1038,2010-07-13 15:07:00,True,51.533019,"Harrington Square 1, Camden Town",False,-0.139174,4,27,22,,False
86,1076,2010-07-13 16:59:00,True,51.493686,"Walnut Tree Walk, Vauxhall",False,-0.111014,14,20,6,,False
87,1082,2010-07-13 17:04:00,True,51.498898,"Borough Road, Elephant & Castle",False,-0.10044,31,41,10,,False
88,2586,2010-07-13 17:16:00,True,51.534408,"Cloudesley Road, Angel",False,-0.109025,14,37,23,,False
89,1070,2010-07-13 17:27:00,True,51.495061,"Bricklayers Arms, Borough",False,-0.085814,23,28,5,,False
90,1065,2010-07-14 09:36:00,True,51.520841,"Aldersgate Street, Barbican",False,-0.09734,5,15,10,,False
91,1047,2010-07-14 09:43:00,True,51.53095,"Falkirk Street, Hoxton",False,-0.078505,4,26,22,,False
92,3447,2010-07-14 09:53:00,True,51.497924,"Gloucester Road (North), Kensington",False,-0.183834,3,18,15,,False
93,972,2010-07-14 10:18:00,True,51.525542,"Hampstead Road, Euston",False,-0.138231,42,54,12,,False
94,1085,2010-07-14 10:28:00,True,51.514577,"Old Quebec Street, Marylebone",False,-0.158264,7,16,8,,False
95,1059,2010-07-14 10:31:00,True,51.490435,"Albert Embankment, Vauxhall",False,-0.122806,13,24,11,,False
96,999,2010-07-14 11:18:00,True,51.511553,"Queen Street 1, Bank",False,-0.09294,0,22,22,,False
97,1045,2010-07-14 11:21:00,True,51.513406,"Jewry Street, Aldgate",False,-0.076793,0,17,16,,False
98,3441,2010-07-14 11:32:00,True,51.504723,"Vicarage Gate, Kensington",False,-0.192538,1,18,17,,False
99,991,2010-07-14 11:36:00,True,51.511594,"Crosswall, Tower",False,-0.077121,13,34,20,,False
100,1041,2010-07-14 12:02:00,True,51.515529,"Westbourne Grove, Bayswater",False,-0.19024,7,26,19,,False
101,1042,2010-07-14 12:28:00,True,51.514105,"Woodstock Street, Mayfair",False,-0.147301,2,21,19,,False
102,1049,2010-07-14 12:38:00,True,51.526008,"Finsbury Leisure Centre, St. Luke's",False,-0.096317,8,20,12,,False
103,3429,2010-07-14 12:42:00,True,51.498125,"Abbey Orchard Street, Westminster",False,-0.132102,27,29,2,,False
104,1052,2010-07-14 12:52:00,True,51.515631,"Soho Square , Soho",False,-0.132328,36,57,20,,False
105,1055,2010-07-14 13:02:00,True,51.533043,"Wellington Road, St. John's Wood",False,-0.172528,0,17,17,,False
106,1037,2010-07-14 13:06:00,True,51.510017,"Park Lane , Hyde Park",False,-0.157275,5,28,23,,False
107,1061,2010-07-14 14:51:00,True,51.515809,"Stonecutter Street, Holborn",False,-0.10527,2,42,40,,False
108,3435,2010-07-14 15:10:00,True,51.496462,"Gloucester Road (Central), South Kensington",False,-0.183289,6,19,13,,False
109,1050,2010-07-14 16:05:00,True,51.524517,"Park Road (Baker Street), The Regent's Park",False,-0.158963,8,22,13,,False
110,1062,2010-07-14 16:18:00,True,51.514233,"Braham Street, Aldgate",False,-0.073537,3,34,31,,False
111,995,2010-07-14 16:46:00,True,51.514499,"Little Argyll Street, West End",False,-0.141423,20,21,1,,False
112,998,2010-07-14 17:17:00,True,51.49288,"Lollard Street, Vauxhall",False,-0.114934,19,25,6,,False
113,3457,2010-07-14 17:22:00,True,51.495827,"Rochester Row, Westminster",False,-0.135478,4,13,9,,False
114,964,2010-07-14 17:26:00,True,51.525893,"Bath Street, St. Luke's",False,-0.090847,9,18,8,,False
115,1044,2010-07-15 10:44:00,True,51.515735,"The Guildhall, Guildhall",False,-0.09308,0,17,17,,False
116,1086,2010-07-15 11:20:00,True,51.518913,"Baker Street, Marylebone",False,-0.156166,8,22,14,,False
117,1068,2010-07-15 11:34:00,True,51.521113,"Norton Folgate, Liverpool Street",False,-0.078869,0,23,23,,False
118,992,2010-07-15 11:55:00,True,51.52836,"St. John Street, Finsbury",False,-0.104724,8,18,10,,False
119,1069,2010-07-15 11:59:00,True,51.496544,"Eaton Square, Belgravia",False,-0.150905,2,20,18,,False
120,996,2010-07-15 12:10:00,True,51.500694,"Borough High Street, The Borough",False,-0.094524,4,21,15,,False
121,1043,2010-07-15 12:29:00,True,51.517821,"Museum of London, Barbican",False,-0.096496,0,52,52,,False
122,1063,2010-07-15 12:32:00,True,51.517008,"Wood Street, Guildhall",False,-0.093885,0,17,16,,False
123,1116,2010-07-15 12:41:00,True,51.495362,"Emperor's Gate, South Kensington",False,-0.185296,15,22,7,,False
124,3451,2010-07-15 13:55:00,True,51.511897,"Golden Square, Soho",False,-0.137043,17,18,1,,False
125,1071,2010-07-15 14:00:00,True,51.509506,"Tower Gardens , Tower",False,-0.075459,6,24,18,,False
126,1005,2010-07-15 14:08:00,True,51.533005,"Eversholt Street , Camden Town",False,-0.136792,3,16,13,,False
127,973,2010-07-15 14:12:00,True,51.523648,"Bethnal Green Road, Shoreditch",False,-0.074754,10,38,28,,False
128,3436,2010-07-15 14:24:00,True,51.501364,"Derry Street, Kensington",False,-0.191462,1,18,17,,False
129,1039,2010-07-15 14:35:00,True,51.504904,"Wapping High Street, Wapping",False,-0.06797,19,20,0,,False
130,1053,2010-07-15 14:38:00,True,51.52326,"Clerkenwell Green, Clerkenwell",False,-0.104708,9,21,12,,False
